item_id,categoria,nombre_de_producto,precio_de_producto,descuento,url_producto 
474619JM,Jeans Mujer,Jeans Franjas Opposite,$22.990,$0,https://www.paris.cl/jeans-franjas-opposite-474619.html?dwvar_474619_color=0001&cgid=mujJuvJeans
582261JM,Jeans Mujer,Jeans Maternity Over The Bump Straight L30 Topshop,$49.990,$0,https://www.paris.cl/jeans-maternity-over-the-bump-straight-l30-topshop-582261.html?dwvar_582261_color=9999&cgid=mujJuvJeans
474515JM,Jeans Mujer,Jeans Urbano Unlimited,$24.990,$0,https://www.paris.cl/jeans-urbano-unlimited-474515.html?dwvar_474515_color=0450&cgid=mujJuvJeans
550131JM,Jeans Mujer,Jeans Jamie L32 Topshop,$49.990,$0,https://www.paris.cl/jeans-jamie-l32-topshop-550131.html?dwvar_550131_color=9999&cgid=mujJuvJeans
549967JM,Jeans Mujer,Jeans Joni L30 Topshop,$39.990,$0,https://www.paris.cl/jeans-joni-l30-topshop-549967.html?dwvar_549967_color=9999&cgid=mujJuvJeans
597969JM,Jeans Mujer,Jeans Washed Black Draw L30 Tie Crop Topshop,$49.990,$0,https://www.paris.cl/jeans-washed-black-draw-l30-tie-crop-topshop-597969.html?dwvar_597969_color=9999&cgid=mujJuvJeans
582281JM,Jeans Mujer,Jeans Maternity Mom Over Bump Ripped L30 Topshop,$49.990,$0,https://www.paris.cl/jeans-maternity-mom-over-bump-ripped-l30-topshop-582281.html?dwvar_582281_color=9999&cgid=mujJuvJeans
560247JM,Jeans Mujer,Jeans Petite Washed Black Mom L28 Topshop,$49.990,$0,https://www.paris.cl/jeans-petite-washed-black-mom-l28-topshop-560247.html?dwvar_560247_color=9999&cgid=mujJuvJeans
212959Cal,Calzones,Pack 2 Cuadro Algodon Elasticado 10702P Intime,$6.990,$0,https://www.paris.cl/pack-2-cuadro-algodon-elasticado-10702p-intime-212959.html?dwvar_212959_color=0100&cgid=mujIntCalzones
481190Cal,Calzones,Calzon Autumn Femenine Women Secret,$3.990,$6.000,https://www.paris.cl/calzon-autumn-femenine-womensecret-481190.html?dwvar_481190_color=0022&cgid=mujIntCalzones
314469Cal,Calzones,Pack 2 Pantaleta Algodon Elasticado 96633P Intime,$4.990,$0,https://www.paris.cl/pack-2-pantaleta-algodon-elasticado-96633p-intime-314469.html?dwvar_314469_color=0100&cgid=mujIntCalzones
481135Cal,Calzones,Calzon Autumn Femenine Women Secret,$3.990,$6.000,https://www.paris.cl/calzon-autumn-femenine-womensecret-481135.html?dwvar_481135_color=0311&cgid=mujIntCalzones
123969Cal,Calzones,Calzon 4126 Flores,$9.990,$0,https://www.paris.cl/calzon-4126-flores-123969.html?dwvar_123969_color=0001&cgid=mujIntCalzones
